route_id,agency_id,route_short_name,route_long_name,route_type
"10-463-e20-1","01","463","Carrigallen - Outside Train Station","3"
"10-464-e19-1","01","464","Carrigallen - Ulsterbus Depot Enniskillen","3"
"10-464-e20-1","01","464","Carrigallen - Ulsterbus Depot Enniskillen","3"
"10-465-e20-1","01","465","Carrigallen - Cavan Bus Station","3"
"10-466-e19-1","01","466","Athlone Bus Station - Outside Train Station","3"
"10-466-e20-1","01","466","Athlone Bus Station - Outside Train Station","3"
"10-467-e20-1","01","467","Outside Train Station - Lanesborough (OBriens Pharmacy)","3"
"10-468-e19-1","01","468","Strokestown Hanly's - Carrick On Shannon Coffee Shop","3"
"10-468-e20-1","01","468","Strokestown Hanly's - Carrick On Shannon Coffee Shop","3"
"10-469-e19-1","01","469","Sligo Bus Station - Outside Train Station","3"
"10-469-e20-1","01","469","Sligo Bus Station - Outside Train Station","3"
"10-470-e19-1","01","470","Dromahair - Sligo Bus Station","3"
"10-470-e20-1","01","470","Dromahair - Sligo Bus Station","3"
"10-471-e19-1","01","471","Sligo Bus Station - Ballymote","3"
"10-471-e20-1","01","471","Sligo Bus Station - Ballymote","3"
"10-472-e19-1","01","472","Strandhill - Rosses Point (R.C. Church)","3"
"10-472-e20-1","01","472","Strandhill - Rosses Point (R.C. Church)","3"
"10-474-e19-1","01","474","Sligo Bus Station - Maugherow","3"
"10-474-e20-1","01","474","Sligo Bus Station - Maugherow","3"
"10-475-e19-1","01","475","Sligo It - Ballymote","3"
"10-475-e20-1","01","475","Sligo It - Ballymote","3"
"10-476-e20-1","01","476","Tubbercurry May Queen - Ballymote (Doddys)","3"
"10-478-e19-1","01","478","Cartron - Cairns Road Sligo","3"
"10-478-e20-1","01","478","Cartron - Cairns Road Sligo","3"
"10-479-e19-1","01","479","Aclare (Gallaghers High Road) - Sligo Bus Station","3"
"10-479-e20-1","01","479","Aclare (Gallaghers High Road) - Sligo Bus Station","3"
"10-480-e19-1","01","480","Sligo Bus Station - Foyle Street Bus Station Derry","3"
"10-480-e20-1","01","480","Sligo Bus Station - Foyle Street Bus Station Derry","3"
"10-483-e19-1","01","483","Sligo Bus Station - Bus Station Ballyshannon","3"
"10-483-e20-1","01","483","Sligo Bus Station - Bus Station Ballyshannon","3"
"10-487-e19-1","01","487","Canal Street - Bus Station","3"
"10-487-e20-1","01","487","Canal Street - Bus Station","3"
"10-489-e19-1","01","489","Bus Station - Canal Street","3"
