from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8370B241201","8370B2550201","2","420"
"8370B241201","8370B240171","2","0"
"8370B241201","8370B299001","2","240"
"8370B241201","8370B2404701","2","720"
"8370B240181","8370B240491","2","360"
"8370B240181","8370B2132301","2","540"
"8370B240181","8370B243491","2","360"
"8370B240181","8370B241201","2","360"
"8370B240181","8370B2550201","2","360"
"8370B240181","8370B240171","2","360"
"8370B240181","8370B299001","2","540"
"8370B240181","8370B2404701","2","420"
"8370B2550201","8370B240491","2","420"
"8370B2550201","8370B2132301","2","180"
"8370B2550201","8370B243491","2","420"
"8370B2550201","8370B241201","2","420"
"8370B2550201","8370B240181","2","360"
"8370B2550201","8370B2126301","2","600"
"8370B2550201","8370B240171","2","420"
"8370B2550201","8370B299001","2","180"
"8370B2550201","8370B2404701","2","480"
"8370B2550201","8370B2370001","2","420"
"8360B6353401","8360B600301","2","540"
"8360B6353301","8360B609541","2","0"
"8370B2126301","8370B2550201","2","600"
"8370B246921","8370B2138601","2","30"
"8380B2307301","8380B235181","2","120"
"8380B235741","8380B2303201","2","0"
"8380B2303201","8380B235741","2","0"
"8380B2163501","8380B2161901","2","0"
"8380B2163501","8380B244561","2","120"
"8380B2161901","8380B2163501","2","0"
"8380B2161901","8380B244561","2","120"
"8380B2302701","8380B237311","2","60"
"8380B351691","8380B2120401","2","0"
"8380B2120401","8380B351691","2","0"
"8260DB003902","8260DB003936","2","0"
"8260DB007089","8260DB007081","2","0"
"8260DB007081","8260DB007089","2","0"
"8260DB007083","8260DB007086","2","0"
"8260DB007086","8260DB007083","2","0"
"8260DB007082","8260DB007087","2","0"
"8260DB007087","8260DB007082","2","0"
"8260DB007088","8260DB007565","2","0"
"8260DB007281","8260DB007282","2","0"
"8260DB007282","8260DB007281","2","0"
"8260DB003901","8260DB007110","2","0"
"8260DB007110","8260DB003901","2","0"
"8260DB006158","8260DB006159","2","0"
"8260DB006159","8260DB006158","2","0"
"8260DB006157","8260DB006160","2","0"
"8260DB006157","8260DB006165","2","60"
"8260DB006160","8260DB006157","2","0"
"8260DB006160","8260DB006165","2","60"
"8260DB006161","8260DB006156","2","60"
"8260DB005118","8260DB003112","2","0"
